#####Coverage percentage#####
80.63%
#####Number of terms covered by each term in the slim#####
adipocyte,12
http://purl.obolibrary.org/obo/CL_0000592,large luteal cell
http://purl.obolibrary.org/obo/CL_0002192,metamyelocyte
http://purl.obolibrary.org/obo/CL_0000458,serotonin secreting cell
http://purl.obolibrary.org/obo/CL_0000854,interneuromast cell
http://purl.obolibrary.org/obo/CL_0009014,Peyer's patch lymphocyte
http://purl.obolibrary.org/obo/CL_0000485,mucosal type mast cell
http://purl.obolibrary.org/obo/CL_0000007,early embryonic cell (metazoa)
http://purl.obolibrary.org/obo/CL_0011023,CD25+ mast cell
http://purl.obolibrary.org/obo/CL_0002005,"CD34-positive, CD38-positive megakaryocyte erythroid progenitor cell"
http://purl.obolibrary.org/obo/CL_0002023,"CD34-positive, CD41-positive, CD42-positive megakaryocyte progenitor cell"
http://purl.obolibrary.org/obo/CL_0000521,fungal cell
http://purl.obolibrary.org/obo/CL_0000341,pigment cell (sensu Nematoda and Protostomia)
http://purl.obolibrary.org/obo/CL_0000482,juvenile hormone secreting cell
http://purl.obolibrary.org/obo/CL_1001145,interlobular vein cell
http://purl.obolibrary.org/obo/CL_0005018,ghrelin secreting cell
http://purl.obolibrary.org/obo/CL_0002087,nongranular leukocyte
http://purl.obolibrary.org/obo/CL_1000597,papillary tips cell
http://purl.obolibrary.org/obo/CL_0009013,fetal hepatobiliary progenitor cell
http://purl.obolibrary.org/obo/CL_0002417,primitive erythroid lineage cell
http://purl.obolibrary.org/obo/CL_0008020,skeletal muscle satellite myogenic cell
http://purl.obolibrary.org/obo/CL_0002020,GlyA-positive reticulocytes
http://purl.obolibrary.org/obo/CL_0007022,micropylar cell
http://purl.obolibrary.org/obo/CL_1000616,kidney outer medulla cell
http://purl.obolibrary.org/obo/CL_0010021,cardiac myoblast
http://purl.obolibrary.org/obo/CL_0001064,malignant cell
http://purl.obolibrary.org/obo/CL_0000721,equatorial cone cell (sensu Endopterygota)
http://purl.obolibrary.org/obo/CL_0002546,embryonic blood vessel endothelial progenitor cell
http://purl.obolibrary.org/obo/CL_0000641,chromophobe cell
http://purl.obolibrary.org/obo/CL_0002387,arthroconidium
http://purl.obolibrary.org/obo/CL_0002027,"CD9-positive, CD41-positive megakaryocyte cell"
http://purl.obolibrary.org/obo/CL_0000564,neutrophilic promyelocyte
http://purl.obolibrary.org/obo/CL_0000309,copper accumulating cell
http://purl.obolibrary.org/obo/CL_0011010,lateral mesodermal cell
http://purl.obolibrary.org/obo/CL_0009033,plasma cell of appendix
http://purl.obolibrary.org/obo/CL_0000677,gut absorptive cell
http://purl.obolibrary.org/obo/CL_4052046,early luteal cell
http://purl.obolibrary.org/obo/CL_0000701,paraganglia type 2 cell
http://purl.obolibrary.org/obo/CL_0000385,prohemocyte (sensu Nematoda and Protostomia)
http://purl.obolibrary.org/obo/CL_0000629,storage cell
http://purl.obolibrary.org/obo/CL_0000662,neuroglioblast (sensu Nematoda)
http://purl.obolibrary.org/obo/CL_4042021,neuronal-restricted precursor
http://purl.obolibrary.org/obo/CL_0000208,pH receptor cell
http://purl.obolibrary.org/obo/CL_0000511,androgen binding protein secreting cell
http://purl.obolibrary.org/obo/CL_0007009,prechondroblast
http://purl.obolibrary.org/obo/CL_4033067,mural granulosa cell
http://purl.obolibrary.org/obo/CL_0000384,ligament cell
http://purl.obolibrary.org/obo/CL_0000987,IgA plasma cell
http://purl.obolibrary.org/obo/CL_0002382,multinucleate conidium
http://purl.obolibrary.org/obo/CL_0007003,preodontoblast
http://purl.obolibrary.org/obo/CL_0001072,"CD34-negative, CD117-positive innate lymphoid cell, human"
http://purl.obolibrary.org/obo/CL_0009003,larval midgut cell
http://purl.obolibrary.org/obo/CL_0000339,glioblast (sensu Vertebrata)
http://purl.obolibrary.org/obo/CL_0000563,endospore
http://purl.obolibrary.org/obo/CL_0000621,fusion competent myoblast
http://purl.obolibrary.org/obo/CL_1001318,renal interstitial pericyte
http://purl.obolibrary.org/obo/CL_0000676,cap cell
http://purl.obolibrary.org/obo/CL_0000170,glucagon secreting cell
http://purl.obolibrary.org/obo/CL_0000427,GLR cell
http://purl.obolibrary.org/obo/CL_0000228,multinucleate cell
http://purl.obolibrary.org/obo/CL_0002030,Fc-epsilon RIalpha-high basophil progenitor cell
http://purl.obolibrary.org/obo/CL_0000650,mesangial cell
http://purl.obolibrary.org/obo/CL_0002176,secondary follicular cell of ovary
http://purl.obolibrary.org/obo/CL_0000703,sustentacular cell
http://purl.obolibrary.org/obo/CL_0000221,ectodermal cell
http://purl.obolibrary.org/obo/CL_0000470,digestive enzyme secreting cell
http://purl.obolibrary.org/obo/CL_0001073,"CD34-negative, CD56-positive, CD117-positive innate lymphoid cell, human"
http://purl.obolibrary.org/obo/CL_0000038,erythroid progenitor cell
http://purl.obolibrary.org/obo/CL_0002564,nucleus pulposus cell of intervertebral disc
http://purl.obolibrary.org/obo/CL_0000382,scolopale cell
http://purl.obolibrary.org/obo/CL_0001200,"lymphocyte of B lineage, CD19-positive"
http://purl.obolibrary.org/obo/CL_1000330,serous cell of epithelium of trachea
http://purl.obolibrary.org/obo/CL_0000858,fast muscle myoblast
http://purl.obolibrary.org/obo/CL_0000447,carbohydrate secreting cell
http://purl.obolibrary.org/obo/CL_0001081,"group 2 innate lymphoid cell, human"
http://purl.obolibrary.org/obo/CL_1000507,kidney tubule cell
http://purl.obolibrary.org/obo/CL_0000597,microconidium
http://purl.obolibrary.org/obo/CL_0000417,endopolyploid cell
http://purl.obolibrary.org/obo/CL_0000465,cardioblast (sensu Arthropoda)
http://purl.obolibrary.org/obo/CL_0000326,glycogen accumulating cell
http://purl.obolibrary.org/obo/CL_0000976,IgA short lived plasma cell
http://purl.obolibrary.org/obo/CL_0000826,pro-B cell
http://purl.obolibrary.org/obo/CL_4030032,valve interstitial cell
http://purl.obolibrary.org/obo/CL_0002272,motilin secreting cell
http://purl.obolibrary.org/obo/CL_2000021,sebaceous gland cell
http://purl.obolibrary.org/obo/CL_0000578,experimentally modified cell in vitro
http://purl.obolibrary.org/obo/CL_0000833,eosinophilic promyelocyte
http://purl.obolibrary.org/obo/CL_0002676,neural crest derived neuroblast
http://purl.obolibrary.org/obo/CL_0000474,pericardial nephrocyte
http://purl.obolibrary.org/obo/CL_4033016,secondary crest myofibroblast
http://purl.obolibrary.org/obo/CL_4047003,cycling plasma cell
http://purl.obolibrary.org/obo/CL_0000505,substance P secreting cell
http://purl.obolibrary.org/obo/CL_0001077,"ILC1, human"
http://purl.obolibrary.org/obo/CL_0017005,lymphoblast
http://purl.obolibrary.org/obo/CL_0000080,circulating cell
http://purl.obolibrary.org/obo/CL_0007017,Stiftchenzellen
http://purl.obolibrary.org/obo/CL_0000457,biogenic amine secreting cell
http://purl.obolibrary.org/obo/CL_0001030,CD117-positive common myeloid progenitor OR CD217-positive common lymphoid progenitor
http://purl.obolibrary.org/obo/CL_0001074,"CD34-positive, CD56-positive, CD117-positive common innate lymphoid precursor, human"
http://purl.obolibrary.org/obo/CL_0000946,antibody secreting cell
http://purl.obolibrary.org/obo/CL_2000030,hypothalamus cell
http://purl.obolibrary.org/obo/CL_0000168,insulin secreting cell
http://purl.obolibrary.org/obo/CL_0000361,gastrula cell
http://purl.obolibrary.org/obo/CL_0002559,hair follicle cell
http://purl.obolibrary.org/obo/CL_0000454,epinephrine secreting cell
http://purl.obolibrary.org/obo/CL_0000378,supporting cell (sensu Nematoda and Protostomia)
http://purl.obolibrary.org/obo/CL_0000311,keratin accumulating cell
http://purl.obolibrary.org/obo/CL_0009019,nephrogenic zone cell
http://purl.obolibrary.org/obo/CL_0002375,Schwann cell precursor
http://purl.obolibrary.org/obo/CL_0000483,bombesin stimulating hormone secreting cell
http://purl.obolibrary.org/obo/CL_0002046,early pro-B cell
http://purl.obolibrary.org/obo/CL_0002014,"Kit-negative, Ly-76 high basophilic erythroblast"
http://purl.obolibrary.org/obo/CL_0000732,amoeboid cell
http://purl.obolibrary.org/obo/CL_1000891,kidney arterial blood vessel cell
http://purl.obolibrary.org/obo/CL_0009001,compound eye retinal cell
http://purl.obolibrary.org/obo/CL_0000049,common myeloid progenitor
http://purl.obolibrary.org/obo/CL_1000332,serous cell of epithelium of terminal bronchiole
http://purl.obolibrary.org/obo/CL_4042022,astrocyte-restricted precursor
http://purl.obolibrary.org/obo/CL_4040000,glial restricted tripotential precursor cell
http://purl.obolibrary.org/obo/CL_0002380,oospore
http://purl.obolibrary.org/obo/CL_0001076,"NKp46-positive innate lymphoid cell, human"
http://purl.obolibrary.org/obo/CL_1000682,kidney medulla interstitial cell
http://purl.obolibrary.org/obo/CL_0000373,histoblast
http://purl.obolibrary.org/obo/CL_0002019,Ly-76 high reticulocyte
http://purl.obolibrary.org/obo/CL_2000074,splenocyte
http://purl.obolibrary.org/obo/CL_0009099,fibro/adipogenic progenitor cell
http://purl.obolibrary.org/obo/CL_0000149,visual pigment cell
http://purl.obolibrary.org/obo/CL_0002026,"CD34-negative, CD41-positive, CD42-positive megakaryocyte cell"
http://purl.obolibrary.org/obo/CL_0002193,myelocyte
http://purl.obolibrary.org/obo/CL_0001078,"group 3 innate lymphoid cell, human"
http://purl.obolibrary.org/obo/CL_0008001,hematopoietic precursor cell
http://purl.obolibrary.org/obo/CL_0000713,corona radiata cell
http://purl.obolibrary.org/obo/CL_0005002,xanthoblast
http://purl.obolibrary.org/obo/CL_0007019,epidermal mucus secreting cell
http://purl.obolibrary.org/obo/CL_0000334,vegetative cell (sensu Fungi)
http://purl.obolibrary.org/obo/CL_0000468,neuroglioblast (sensu Nematoda and Protostomia)
http://purl.obolibrary.org/obo/CL_0002010,pre-conventional dendritic cell
http://purl.obolibrary.org/obo/CL_0002391,multinucleate blastoconidium
http://purl.obolibrary.org/obo/CL_0000040,monoblast
http://purl.obolibrary.org/obo/CL_0002681,kidney cortical cell
http://purl.obolibrary.org/obo/CL_0002373,growth hormone releasing hormone secreting cell
http://purl.obolibrary.org/obo/CL_0002012,Kit-low proerythroblast
http://purl.obolibrary.org/obo/CL_0008012,quiescent skeletal muscle satellite cell
http://purl.obolibrary.org/obo/CL_0000596,sexual spore
http://purl.obolibrary.org/obo/CL_1001045,kidney cortex artery cell
http://purl.obolibrary.org/obo/CL_0002602,annulus pulposus cell
http://purl.obolibrary.org/obo/CL_0000206,chemoreceptor cell
http://purl.obolibrary.org/obo/CL_0000452,thyroid hormone secreting cell
http://purl.obolibrary.org/obo/CL_0011007,paraxial cell
http://purl.obolibrary.org/obo/CL_0011020,neural progenitor cell
http://purl.obolibrary.org/obo/CL_4052024,myotendinous junction nucleus
http://purl.obolibrary.org/obo/CL_0017503,basophilic cytoplasm
http://purl.obolibrary.org/obo/CL_0017500,neutrophillic cytoplasm
http://purl.obolibrary.org/obo/CL_0017502,acidophilic cytoplasm
http://purl.obolibrary.org/obo/CL_0017506,banded nucleus
http://purl.obolibrary.org/obo/CL_0017504,polychromatophilic cytoplasm
http://purl.obolibrary.org/obo/CL_0017508,cartwheel heterochromatin
http://purl.obolibrary.org/obo/CL_0017507,reniform nucleus
http://purl.obolibrary.org/obo/CL_4052025,neuromuscular junction nucleus
http://purl.obolibrary.org/obo/CL_0017509,alobate nucleus
