organ,as_label,ct_label,gene_symbol,as,ct,gene
Large Intestine,sigmoid colon,endothelial cell of lymphatic vessel,CD274,http://purl.obolibrary.org/obo/UBERON_0001159,http://purl.obolibrary.org/obo/CL_0002138,http://identifiers.org/hgnc/17635
Large Intestine,sigmoid colon,adipocyte,BID,http://purl.obolibrary.org/obo/UBERON_0001159,http://purl.obolibrary.org/obo/CL_0000136,http://identifiers.org/hgnc/1050
Large Intestine,sigmoid colon,smooth muscle cell,ACTA2,http://purl.obolibrary.org/obo/UBERON_0001159,http://purl.obolibrary.org/obo/CL_0000192,http://identifiers.org/hgnc/130
Large Intestine,sigmoid colon,mesothelial cell of visceral peritoneum,KRT8,http://purl.obolibrary.org/obo/UBERON_0001159,http://purl.obolibrary.org/obo/CL_1000457,http://identifiers.org/hgnc/6446
Large Intestine,sigmoid colon,pericyte,PECAM1,http://purl.obolibrary.org/obo/UBERON_0001159,http://purl.obolibrary.org/obo/CL_0000669,http://identifiers.org/hgnc/8823
Large Intestine,sigmoid colon,mesothelial cell of visceral peritoneum,CALB2,http://purl.obolibrary.org/obo/UBERON_0001159,http://purl.obolibrary.org/obo/CL_1000457,http://identifiers.org/hgnc/1435
Large Intestine,sigmoid colon,mesothelial cell of visceral peritoneum,KRT18,http://purl.obolibrary.org/obo/UBERON_0001159,http://purl.obolibrary.org/obo/CL_1000457,http://identifiers.org/hgnc/6430
Large Intestine,sigmoid colon,mast cell,SLC16A1,http://purl.obolibrary.org/obo/UBERON_0001159,http://purl.obolibrary.org/obo/CL_0000097,http://identifiers.org/hgnc/10922
Large Intestine,sigmoid colon,lymphocyte of large intestine lamina propria,CD4,http://purl.obolibrary.org/obo/UBERON_0001159,http://purl.obolibrary.org/obo/CL_0009018,http://identifiers.org/hgnc/1678
Large Intestine,sigmoid colon,dendritic cell,CD74,http://purl.obolibrary.org/obo/UBERON_0001159,http://purl.obolibrary.org/obo/CL_0000451,http://identifiers.org/hgnc/1697
Large Intestine,sigmoid colon,lymphocyte of large intestine lamina propria,KLRK1,http://purl.obolibrary.org/obo/UBERON_0001159,http://purl.obolibrary.org/obo/CL_0009018,http://identifiers.org/hgnc/18788
Large Intestine,sigmoid colon,mature neutrophil,FCGR3A,http://purl.obolibrary.org/obo/UBERON_0001159,http://purl.obolibrary.org/obo/CL_0000096,http://identifiers.org/hgnc/3619
Large Intestine,sigmoid colon,mature neutrophil,FUT4,http://purl.obolibrary.org/obo/UBERON_0001159,http://purl.obolibrary.org/obo/CL_0000096,http://identifiers.org/hgnc/4015
Large Intestine,sigmoid colon,mature eosinophil,PTGDR2,http://purl.obolibrary.org/obo/UBERON_0001159,http://purl.obolibrary.org/obo/CL_0000041,http://identifiers.org/hgnc/4502
Large Intestine,sigmoid colon,lymphocyte of large intestine lamina propria,IL2RA,http://purl.obolibrary.org/obo/UBERON_0001159,http://purl.obolibrary.org/obo/CL_0009018,http://identifiers.org/hgnc/6008
Large Intestine,sigmoid colon,dendritic cell,IL3RA,http://purl.obolibrary.org/obo/UBERON_0001159,http://purl.obolibrary.org/obo/CL_0000451,http://identifiers.org/hgnc/6012
Large Intestine,sigmoid colon,lymphocyte of large intestine lamina propria,FOXP3,http://purl.obolibrary.org/obo/UBERON_0001159,http://purl.obolibrary.org/obo/CL_0009018,http://identifiers.org/hgnc/6106
Large Intestine,sigmoid colon,mature eosinophil,ITGAM,http://purl.obolibrary.org/obo/UBERON_0001159,http://purl.obolibrary.org/obo/CL_0000041,http://identifiers.org/hgnc/6149
Large Intestine,sigmoid colon,dendritic cell,ITGAX,http://purl.obolibrary.org/obo/UBERON_0001159,http://purl.obolibrary.org/obo/CL_0000451,http://identifiers.org/hgnc/6152
Large Intestine,sigmoid colon,lymphocyte of large intestine lamina propria,ITGAX,http://purl.obolibrary.org/obo/UBERON_0001159,http://purl.obolibrary.org/obo/CL_0009018,http://identifiers.org/hgnc/6152
Large Intestine,sigmoid colon,mast cell,KIT,http://purl.obolibrary.org/obo/UBERON_0001159,http://purl.obolibrary.org/obo/CL_0000097,http://identifiers.org/hgnc/6342
Large Intestine,sigmoid colon,lymphocyte of large intestine lamina propria,NCAM1,http://purl.obolibrary.org/obo/UBERON_0001159,http://purl.obolibrary.org/obo/CL_0009018,http://identifiers.org/hgnc/7656
Large Intestine,sigmoid colon,capillary endothelial cell,PECAM1,http://purl.obolibrary.org/obo/UBERON_0001159,http://purl.obolibrary.org/obo/CL_0002144,http://identifiers.org/hgnc/8823
Large Intestine,sigmoid colon,lymphocyte of large intestine lamina propria,B3GAT1,http://purl.obolibrary.org/obo/UBERON_0001159,http://purl.obolibrary.org/obo/CL_0009018,http://identifiers.org/hgnc/921
Large Intestine,sigmoid colon,Schwann cell,CD274,http://purl.obolibrary.org/obo/UBERON_0001159,http://purl.obolibrary.org/obo/CL_0002573,http://identifiers.org/hgnc/17635
Large Intestine,sigmoid colon,intestinal crypt stem cell of large intestine,SOX9,http://purl.obolibrary.org/obo/UBERON_0001159,http://purl.obolibrary.org/obo/CL_0009016,http://identifiers.org/hgnc/11204
Large Intestine,sigmoid colon,intestinal crypt stem cell of large intestine,CD44,http://purl.obolibrary.org/obo/UBERON_0001159,http://purl.obolibrary.org/obo/CL_0009016,http://identifiers.org/hgnc/1681
Large Intestine,sigmoid colon,intestinal crypt stem cell of large intestine,LRIG1,http://purl.obolibrary.org/obo/UBERON_0001159,http://purl.obolibrary.org/obo/CL_0009016,http://identifiers.org/hgnc/17360
Large Intestine,sigmoid colon,intestinal crypt stem cell of large intestine,SMOC2,http://purl.obolibrary.org/obo/UBERON_0001159,http://purl.obolibrary.org/obo/CL_0009016,http://identifiers.org/hgnc/20323
Large Intestine,sigmoid colon,intestinal crypt stem cell of large intestine,RGMB,http://purl.obolibrary.org/obo/UBERON_0001159,http://purl.obolibrary.org/obo/CL_0009016,http://identifiers.org/hgnc/26896
Large Intestine,sigmoid colon,intestinal crypt stem cell of large intestine,LGR5,http://purl.obolibrary.org/obo/UBERON_0001159,http://purl.obolibrary.org/obo/CL_0009016,http://identifiers.org/hgnc/4504
Large Intestine,sigmoid colon,"CD8-alpha-alpha-positive, alpha-beta intraepithelial T cell",CD2,http://purl.obolibrary.org/obo/UBERON_0001159,http://purl.obolibrary.org/obo/CL_0000915,http://identifiers.org/hgnc/1639
Large Intestine,sigmoid colon,"CD8-alpha-alpha-positive, alpha-beta intraepithelial T cell",CD3D,http://purl.obolibrary.org/obo/UBERON_0001159,http://purl.obolibrary.org/obo/CL_0000915,http://identifiers.org/hgnc/1673
Large Intestine,sigmoid colon,"CD8-alpha-alpha-positive, alpha-beta intraepithelial T cell",CD3W,http://purl.obolibrary.org/obo/UBERON_0001159,http://purl.obolibrary.org/obo/CL_0000915,http://identifiers.org/hgnc/1676
Large Intestine,sigmoid colon,"CD8-alpha-alpha-positive, alpha-beta intraepithelial T cell",CD5,http://purl.obolibrary.org/obo/UBERON_0001159,http://purl.obolibrary.org/obo/CL_0000915,http://identifiers.org/hgnc/1685
Large Intestine,sigmoid colon,"CD8-alpha-alpha-positive, alpha-beta intraepithelial T cell",CD7,http://purl.obolibrary.org/obo/UBERON_0001159,http://purl.obolibrary.org/obo/CL_0000915,http://identifiers.org/hgnc/1695
Large Intestine,sigmoid colon,"CD8-alpha-alpha-positive, alpha-beta intraepithelial T cell",CD8A,http://purl.obolibrary.org/obo/UBERON_0001159,http://purl.obolibrary.org/obo/CL_0000915,http://identifiers.org/hgnc/1706
Large Intestine,sigmoid colon,lymphocyte of large intestine lamina propria,IL7R,http://purl.obolibrary.org/obo/UBERON_0001159,http://purl.obolibrary.org/obo/CL_0009018,http://identifiers.org/hgnc/6024
Large Intestine,sigmoid colon,lymphocyte of large intestine lamina propria,KIT,http://purl.obolibrary.org/obo/UBERON_0001159,http://purl.obolibrary.org/obo/CL_0009018,http://identifiers.org/hgnc/6342
Large Intestine,sigmoid colon,lymphocyte of large intestine lamina propria,KLRB1,http://purl.obolibrary.org/obo/UBERON_0001159,http://purl.obolibrary.org/obo/CL_0009018,http://identifiers.org/hgnc/6373
Large Intestine,sigmoid colon,neuroendocrine cell,SYP,http://purl.obolibrary.org/obo/UBERON_0001159,http://purl.obolibrary.org/obo/CL_0000165,http://identifiers.org/hgnc/11506
Large Intestine,sigmoid colon,intestinal tuft cell,TRPM5,http://purl.obolibrary.org/obo/UBERON_0001159,http://purl.obolibrary.org/obo/CL_0019032,http://identifiers.org/hgnc/14323
Large Intestine,sigmoid colon,enterocyte of epithelium of large intestine,BEST4,http://purl.obolibrary.org/obo/UBERON_0001159,http://purl.obolibrary.org/obo/CL_0002071,http://identifiers.org/hgnc/17106
Large Intestine,sigmoid colon,intestinal tuft cell,POU2F3,http://purl.obolibrary.org/obo/UBERON_0001159,http://purl.obolibrary.org/obo/CL_0019032,http://identifiers.org/hgnc/19864
Large Intestine,sigmoid colon,enterocyte of epithelium of large intestine,KRT20,http://purl.obolibrary.org/obo/UBERON_0001159,http://purl.obolibrary.org/obo/CL_0002071,http://identifiers.org/hgnc/20412
Large Intestine,sigmoid colon,transit amplifying cell of colon,KRT20,http://purl.obolibrary.org/obo/UBERON_0001159,http://purl.obolibrary.org/obo/CL_0009011,http://identifiers.org/hgnc/20412
Large Intestine,sigmoid colon,intestinal tuft cell,KRT20,http://purl.obolibrary.org/obo/UBERON_0001159,http://purl.obolibrary.org/obo/CL_0019032,http://identifiers.org/hgnc/20412
Large Intestine,sigmoid colon,large intestine crypt goblet cell,KRT20,http://purl.obolibrary.org/obo/UBERON_0001159,http://purl.obolibrary.org/obo/CL_1000321,http://identifiers.org/hgnc/20412
Large Intestine,sigmoid colon,intestinal tuft cell,DCLK1,http://purl.obolibrary.org/obo/UBERON_0001159,http://purl.obolibrary.org/obo/CL_0019032,http://identifiers.org/hgnc/2700
Large Intestine,sigmoid colon,paneth cell of colon,DEFA5,http://purl.obolibrary.org/obo/UBERON_0001159,http://purl.obolibrary.org/obo/CL_0009009,http://identifiers.org/hgnc/2764
Large Intestine,sigmoid colon,neuroendocrine cell,INSL5,http://purl.obolibrary.org/obo/UBERON_0001159,http://purl.obolibrary.org/obo/CL_0000165,http://identifiers.org/hgnc/6088
Large Intestine,sigmoid colon,large intestine crypt goblet cell,MUC2,http://purl.obolibrary.org/obo/UBERON_0001159,http://purl.obolibrary.org/obo/CL_1000321,http://identifiers.org/hgnc/7512
Large Intestine,sigmoid colon,pericryptal fibroblastic sheath,ACTA2,http://purl.obolibrary.org/obo/UBERON_0001159,https://purl.org/ccf/ASCTB-TEMP_pericryptal-fibroblastic-sheath,http://identifiers.org/hgnc/130
Large Intestine,sigmoid colon,subepithelial membrane,ACTA2,http://purl.obolibrary.org/obo/UBERON_0001159,https://purl.org/ccf/ASCTB-TEMP_subepithelial-membrane,http://identifiers.org/hgnc/130
Large Intestine,sigmoid colon,plasma cell,SDC1,http://purl.obolibrary.org/obo/UBERON_0001159,http://purl.obolibrary.org/obo/CL_0000786,http://identifiers.org/hgnc/10658
Large Intestine,caecum,lymphocyte of large intestine lamina propria,CR2,http://purl.obolibrary.org/obo/UBERON_0001153,http://purl.obolibrary.org/obo/CL_0009018,http://identifiers.org/hgnc/2336
Large Intestine,caecum,lymphocyte of large intestine lamina propria,IL2RA,http://purl.obolibrary.org/obo/UBERON_0001153,http://purl.obolibrary.org/obo/CL_0009018,http://identifiers.org/hgnc/6008
Large Intestine,caecum,lymphocyte of large intestine lamina propria,FOXP3,http://purl.obolibrary.org/obo/UBERON_0001153,http://purl.obolibrary.org/obo/CL_0009018,http://identifiers.org/hgnc/6106
Large Intestine,caecum,macrophage,ITGAM,http://purl.obolibrary.org/obo/UBERON_0001153,http://purl.obolibrary.org/obo/CL_0000235,http://identifiers.org/hgnc/6149
Large Intestine,caecum,endothelial cell of high endothelial venule,MADCAM1,http://purl.obolibrary.org/obo/UBERON_0001153,http://purl.obolibrary.org/obo/CL_0002652,http://identifiers.org/hgnc/6765
Large Intestine,caecum,macrophage,MRC1,http://purl.obolibrary.org/obo/UBERON_0001153,http://purl.obolibrary.org/obo/CL_0000235,http://identifiers.org/hgnc/7228
Large Intestine,caecum,lymphocyte of large intestine lamina propria,MS4A1,http://purl.obolibrary.org/obo/UBERON_0001153,http://purl.obolibrary.org/obo/CL_0009018,http://identifiers.org/hgnc/7315
Large Intestine,caecum,pericyte,PDGFRB,http://purl.obolibrary.org/obo/UBERON_0001153,http://purl.obolibrary.org/obo/CL_0000669,http://identifiers.org/hgnc/8804
Large Intestine,caecum,Schwann cell,BID,http://purl.obolibrary.org/obo/UBERON_0001153,http://purl.obolibrary.org/obo/CL_0002573,http://identifiers.org/hgnc/1050
Large Intestine,caecum,Schwann cell,BST2,http://purl.obolibrary.org/obo/UBERON_0001153,http://purl.obolibrary.org/obo/CL_0002573,http://identifiers.org/hgnc/1119
Large Intestine,caecum,endothelial cell of lymphatic vessel,UCHL1,http://purl.obolibrary.org/obo/UBERON_0001153,http://purl.obolibrary.org/obo/CL_0002138,http://identifiers.org/hgnc/12513
Large Intestine,caecum,Schwann cell,UCHL1,http://purl.obolibrary.org/obo/UBERON_0001153,http://purl.obolibrary.org/obo/CL_0002573,http://identifiers.org/hgnc/12513
Large Intestine,caecum,endothelial cell of arteriole,CD34,http://purl.obolibrary.org/obo/UBERON_0001153,http://purl.obolibrary.org/obo/CL_1000412,http://identifiers.org/hgnc/1662
Large Intestine,caecum,endothelial cell of arteriole,CD36,http://purl.obolibrary.org/obo/UBERON_0001153,http://purl.obolibrary.org/obo/CL_1000412,http://identifiers.org/hgnc/1663
Large Intestine,caecum,endothelial cell of lymphatic vessel,NCAM1,http://purl.obolibrary.org/obo/UBERON_0001153,http://purl.obolibrary.org/obo/CL_0002138,http://identifiers.org/hgnc/7656
Large Intestine,caecum,pericyte,PECAM1,http://purl.obolibrary.org/obo/UBERON_0001153,http://purl.obolibrary.org/obo/CL_0000669,http://identifiers.org/hgnc/8823
Large Intestine,caecum,endothelial cell of arteriole,PECAM1,http://purl.obolibrary.org/obo/UBERON_0001153,http://purl.obolibrary.org/obo/CL_1000412,http://identifiers.org/hgnc/8823
Large Intestine,caecum,endothelial cell of lymphatic vessel,CD274,http://purl.obolibrary.org/obo/UBERON_0001153,http://purl.obolibrary.org/obo/CL_0002138,http://identifiers.org/hgnc/17635
Large Intestine,caecum,smooth muscle cell of large intestine,SMTN,http://purl.obolibrary.org/obo/UBERON_0001153,http://purl.obolibrary.org/obo/CL_1000279,http://identifiers.org/hgnc/11126
Large Intestine,caecum,smooth muscle cell of large intestine,ACTA2,http://purl.obolibrary.org/obo/UBERON_0001153,http://purl.obolibrary.org/obo/CL_1000279,http://identifiers.org/hgnc/130
Large Intestine,caecum,interstitial cell of Cajal,CD34,http://purl.obolibrary.org/obo/UBERON_0001153,http://purl.obolibrary.org/obo/CL_0002088,http://identifiers.org/hgnc/1662
Large Intestine,caecum,interstitial cell of Cajal,KIT,http://purl.obolibrary.org/obo/UBERON_0001153,http://purl.obolibrary.org/obo/CL_0002088,http://identifiers.org/hgnc/6342
Large Intestine,caecum,ganglion,MAP2,http://purl.obolibrary.org/obo/UBERON_0001153,https://purl.org/ccf/ASCTB-TEMP_ganglion,http://identifiers.org/hgnc/6839
Large Intestine,caecum,ganglion,PRPH,http://purl.obolibrary.org/obo/UBERON_0001153,https://purl.org/ccf/ASCTB-TEMP_ganglion,http://identifiers.org/hgnc/9461
Large Intestine,caecum,endothelial cell of lymphatic vessel,LYVE1,http://purl.obolibrary.org/obo/UBERON_0001153,http://purl.obolibrary.org/obo/CL_0002138,http://identifiers.org/hgnc/14687
Large Intestine,caecum,lymphocyte of large intestine lamina propria,CD19,http://purl.obolibrary.org/obo/UBERON_0001153,http://purl.obolibrary.org/obo/CL_0009018,http://identifiers.org/hgnc/1633
Large Intestine,caecum,lymphocyte of large intestine lamina propria,CD79A,http://purl.obolibrary.org/obo/UBERON_0001153,http://purl.obolibrary.org/obo/CL_0009018,http://identifiers.org/hgnc/1698
Large Intestine,caecum,adipocyte,BID,http://purl.obolibrary.org/obo/UBERON_0001153,http://purl.obolibrary.org/obo/CL_0000136,http://identifiers.org/hgnc/1050
Large Intestine,caecum,mesothelial cell of visceral peritoneum,KRT8,http://purl.obolibrary.org/obo/UBERON_0001153,http://purl.obolibrary.org/obo/CL_1000457,http://identifiers.org/hgnc/6446
Large Intestine,caecum,mesothelial cell of visceral peritoneum,CALB2,http://purl.obolibrary.org/obo/UBERON_0001153,http://purl.obolibrary.org/obo/CL_1000457,http://identifiers.org/hgnc/1435
Large Intestine,caecum,mesothelial cell of visceral peritoneum,KRT18,http://purl.obolibrary.org/obo/UBERON_0001153,http://purl.obolibrary.org/obo/CL_1000457,http://identifiers.org/hgnc/6430
Large Intestine,caecum,lymphocyte of large intestine lamina propria,CD4,http://purl.obolibrary.org/obo/UBERON_0001153,http://purl.obolibrary.org/obo/CL_0009018,http://identifiers.org/hgnc/1678
Large Intestine,caecum,macrophage,CD163,http://purl.obolibrary.org/obo/UBERON_0001153,http://purl.obolibrary.org/obo/CL_0000235,http://identifiers.org/hgnc/1631
Large Intestine,caecum,lymphocyte of large intestine lamina propria,CD2,http://purl.obolibrary.org/obo/UBERON_0001153,http://purl.obolibrary.org/obo/CL_0009018,http://identifiers.org/hgnc/1639
Large Intestine,sigmoid colon,macrophage,CD163,http://purl.obolibrary.org/obo/UBERON_0001159,http://purl.obolibrary.org/obo/CL_0000235,http://identifiers.org/hgnc/1631
Large Intestine,sigmoid colon,lymphocyte of large intestine lamina propria,CD2,http://purl.obolibrary.org/obo/UBERON_0001159,http://purl.obolibrary.org/obo/CL_0009018,http://identifiers.org/hgnc/1639
Large Intestine,sigmoid colon,lymphocyte of large intestine lamina propria,CD3D,http://purl.obolibrary.org/obo/UBERON_0001159,http://purl.obolibrary.org/obo/CL_0009018,http://identifiers.org/hgnc/1673
Large Intestine,sigmoid colon,lymphocyte of large intestine lamina propria,CD3W,http://purl.obolibrary.org/obo/UBERON_0001159,http://purl.obolibrary.org/obo/CL_0009018,http://identifiers.org/hgnc/1676
Large Intestine,sigmoid colon,lymphocyte of large intestine lamina propria,CD5,http://purl.obolibrary.org/obo/UBERON_0001159,http://purl.obolibrary.org/obo/CL_0009018,http://identifiers.org/hgnc/1685
Large Intestine,sigmoid colon,macrophage,CD68,http://purl.obolibrary.org/obo/UBERON_0001159,http://purl.obolibrary.org/obo/CL_0000235,http://identifiers.org/hgnc/1693
Large Intestine,sigmoid colon,lymphocyte of large intestine lamina propria,CD7,http://purl.obolibrary.org/obo/UBERON_0001159,http://purl.obolibrary.org/obo/CL_0009018,http://identifiers.org/hgnc/1695
Large Intestine,sigmoid colon,macrophage,CD74,http://purl.obolibrary.org/obo/UBERON_0001159,http://purl.obolibrary.org/obo/CL_0000235,http://identifiers.org/hgnc/1697
Large Intestine,sigmoid colon,lymphocyte of large intestine lamina propria,CD8A,http://purl.obolibrary.org/obo/UBERON_0001159,http://purl.obolibrary.org/obo/CL_0009018,http://identifiers.org/hgnc/1706
Large Intestine,sigmoid colon,macrophage,ITGAM,http://purl.obolibrary.org/obo/UBERON_0001159,http://purl.obolibrary.org/obo/CL_0000235,http://identifiers.org/hgnc/6149
Large Intestine,sigmoid colon,macrophage,MRC1,http://purl.obolibrary.org/obo/UBERON_0001159,http://purl.obolibrary.org/obo/CL_0000235,http://identifiers.org/hgnc/7228
Large Intestine,sigmoid colon,endothelial cell of lymphatic vessel,LYVE1,http://purl.obolibrary.org/obo/UBERON_0001159,http://purl.obolibrary.org/obo/CL_0002138,http://identifiers.org/hgnc/14687
Large Intestine,sigmoid colon,lymphocyte of large intestine lamina propria,CD19,http://purl.obolibrary.org/obo/UBERON_0001159,http://purl.obolibrary.org/obo/CL_0009018,http://identifiers.org/hgnc/1633
Large Intestine,sigmoid colon,lymphocyte of large intestine lamina propria,CD79A,http://purl.obolibrary.org/obo/UBERON_0001159,http://purl.obolibrary.org/obo/CL_0009018,http://identifiers.org/hgnc/1698
Large Intestine,sigmoid colon,lymphocyte of large intestine lamina propria,CR2,http://purl.obolibrary.org/obo/UBERON_0001159,http://purl.obolibrary.org/obo/CL_0009018,http://identifiers.org/hgnc/2336
Large Intestine,sigmoid colon,endothelial cell of high endothelial venule,MADCAM1,http://purl.obolibrary.org/obo/UBERON_0001159,http://purl.obolibrary.org/obo/CL_0002652,http://identifiers.org/hgnc/6765
Large Intestine,sigmoid colon,lymphocyte of large intestine lamina propria,MS4A1,http://purl.obolibrary.org/obo/UBERON_0001159,http://purl.obolibrary.org/obo/CL_0009018,http://identifiers.org/hgnc/7315
Large Intestine,sigmoid colon,interstitial cell of Cajal,CD34,http://purl.obolibrary.org/obo/UBERON_0001159,http://purl.obolibrary.org/obo/CL_0002088,http://identifiers.org/hgnc/1662
Large Intestine,sigmoid colon,interstitial cell of Cajal,KIT,http://purl.obolibrary.org/obo/UBERON_0001159,http://purl.obolibrary.org/obo/CL_0002088,http://identifiers.org/hgnc/6342
Large Intestine,caecum,enterocyte of epithelium of large intestine,BEST4,http://purl.obolibrary.org/obo/UBERON_0001153,http://purl.obolibrary.org/obo/CL_0002071,http://identifiers.org/hgnc/17106
Large Intestine,caecum,enterocyte of epithelium of large intestine,KRT20,http://purl.obolibrary.org/obo/UBERON_0001153,http://purl.obolibrary.org/obo/CL_0002071,http://identifiers.org/hgnc/20412
Large Intestine,caecum,transit amplifying cell of colon,KRT20,http://purl.obolibrary.org/obo/UBERON_0001153,http://purl.obolibrary.org/obo/CL_0009011,http://identifiers.org/hgnc/20412
Large Intestine,caecum,large intestine crypt goblet cell,KRT20,http://purl.obolibrary.org/obo/UBERON_0001153,http://purl.obolibrary.org/obo/CL_1000321,http://identifiers.org/hgnc/20412
Large Intestine,caecum,large intestine crypt goblet cell,MUC2,http://purl.obolibrary.org/obo/UBERON_0001153,http://purl.obolibrary.org/obo/CL_1000321,http://identifiers.org/hgnc/7512
Large Intestine,caecum,pericryptal fibroblastic sheath,ACTA2,http://purl.obolibrary.org/obo/UBERON_0001153,https://purl.org/ccf/ASCTB-TEMP_pericryptal-fibroblastic-sheath,http://identifiers.org/hgnc/130
Large Intestine,caecum,intestinal tuft cell,TRPM5,http://purl.obolibrary.org/obo/UBERON_0001153,http://purl.obolibrary.org/obo/CL_0019032,http://identifiers.org/hgnc/14323
Large Intestine,caecum,intestinal tuft cell,POU2F3,http://purl.obolibrary.org/obo/UBERON_0001153,http://purl.obolibrary.org/obo/CL_0019032,http://identifiers.org/hgnc/19864
Large Intestine,caecum,intestinal tuft cell,KRT20,http://purl.obolibrary.org/obo/UBERON_0001153,http://purl.obolibrary.org/obo/CL_0019032,http://identifiers.org/hgnc/20412
Large Intestine,caecum,intestinal tuft cell,DCLK1,http://purl.obolibrary.org/obo/UBERON_0001153,http://purl.obolibrary.org/obo/CL_0019032,http://identifiers.org/hgnc/2700
Large Intestine,caecum,subepithelial membrane,ACTA2,http://purl.obolibrary.org/obo/UBERON_0001153,https://purl.org/ccf/ASCTB-TEMP_subepithelial-membrane,http://identifiers.org/hgnc/130
Large Intestine,caecum,neuroendocrine cell,SYP,http://purl.obolibrary.org/obo/UBERON_0001153,http://purl.obolibrary.org/obo/CL_0000165,http://identifiers.org/hgnc/11506
Large Intestine,caecum,neuroendocrine cell,CHGA,http://purl.obolibrary.org/obo/UBERON_0001153,http://purl.obolibrary.org/obo/CL_0000165,http://identifiers.org/hgnc/1929
Large Intestine,caecum,neuroendocrine cell,INSL5,http://purl.obolibrary.org/obo/UBERON_0001153,http://purl.obolibrary.org/obo/CL_0000165,http://identifiers.org/hgnc/6088
Large Intestine,caecum,neuroendocrine cell,INSM1,http://purl.obolibrary.org/obo/UBERON_0001153,http://purl.obolibrary.org/obo/CL_0000165,http://identifiers.org/hgnc/6090
Large Intestine,caecum,intestinal tuft cell,PTGS1,http://purl.obolibrary.org/obo/UBERON_0001153,http://purl.obolibrary.org/obo/CL_0019032,http://identifiers.org/hgnc/9604
Large Intestine,caecum,endothelial cell of lymphatic vessel,PDPN,http://purl.obolibrary.org/obo/UBERON_0001153,http://purl.obolibrary.org/obo/CL_0002138,http://identifiers.org/hgnc/29602
Large Intestine,caecum,endothelial cell of lymphatic vessel,PECAM1,http://purl.obolibrary.org/obo/UBERON_0001153,http://purl.obolibrary.org/obo/CL_0002138,http://identifiers.org/hgnc/8823
Large Intestine,caecum,intestinal crypt stem cell of large intestine,SOX9,http://purl.obolibrary.org/obo/UBERON_0001153,http://purl.obolibrary.org/obo/CL_0009016,http://identifiers.org/hgnc/11204
Large Intestine,caecum,intestinal crypt stem cell of large intestine,CD44,http://purl.obolibrary.org/obo/UBERON_0001153,http://purl.obolibrary.org/obo/CL_0009016,http://identifiers.org/hgnc/1681
Large Intestine,caecum,intestinal crypt stem cell of large intestine,LRIG1,http://purl.obolibrary.org/obo/UBERON_0001153,http://purl.obolibrary.org/obo/CL_0009016,http://identifiers.org/hgnc/17360
Large Intestine,caecum,intestinal crypt stem cell of large intestine,SMOC2,http://purl.obolibrary.org/obo/UBERON_0001153,http://purl.obolibrary.org/obo/CL_0009016,http://identifiers.org/hgnc/20323
Large Intestine,caecum,intestinal crypt stem cell of large intestine,RGMB,http://purl.obolibrary.org/obo/UBERON_0001153,http://purl.obolibrary.org/obo/CL_0009016,http://identifiers.org/hgnc/26896
Large Intestine,caecum,paneth cell of colon,DEFA5,http://purl.obolibrary.org/obo/UBERON_0001153,http://purl.obolibrary.org/obo/CL_0009009,http://identifiers.org/hgnc/2764
Large Intestine,caecum,intestinal crypt stem cell of large intestine,LGR5,http://purl.obolibrary.org/obo/UBERON_0001153,http://purl.obolibrary.org/obo/CL_0009016,http://identifiers.org/hgnc/4504
Large Intestine,caecum,endothelial cell of venule,CD34,http://purl.obolibrary.org/obo/UBERON_0001153,http://purl.obolibrary.org/obo/CL_1000414,http://identifiers.org/hgnc/1662
Large Intestine,caecum,endothelial cell of venule,CD36,http://purl.obolibrary.org/obo/UBERON_0001153,http://purl.obolibrary.org/obo/CL_1000414,http://identifiers.org/hgnc/1663
Large Intestine,caecum,dendritic cell,CD74,http://purl.obolibrary.org/obo/UBERON_0001153,http://purl.obolibrary.org/obo/CL_0000451,http://identifiers.org/hgnc/1697
Large Intestine,caecum,lymphocyte of large intestine lamina propria,KLRK1,http://purl.obolibrary.org/obo/UBERON_0001153,http://purl.obolibrary.org/obo/CL_0009018,http://identifiers.org/hgnc/18788
Large Intestine,caecum,fibroblast,COL6A1,http://purl.obolibrary.org/obo/UBERON_0001153,http://purl.obolibrary.org/obo/CL_0000057,http://identifiers.org/hgnc/2211
Large Intestine,caecum,fibroblast,COL6A2,http://purl.obolibrary.org/obo/UBERON_0001153,http://purl.obolibrary.org/obo/CL_0000057,http://identifiers.org/hgnc/2212
Large Intestine,caecum,dendritic cell,IL3RA,http://purl.obolibrary.org/obo/UBERON_0001153,http://purl.obolibrary.org/obo/CL_0000451,http://identifiers.org/hgnc/6012
Large Intestine,caecum,dendritic cell,ITGAX,http://purl.obolibrary.org/obo/UBERON_0001153,http://purl.obolibrary.org/obo/CL_0000451,http://identifiers.org/hgnc/6152
Large Intestine,caecum,lymphocyte of large intestine lamina propria,ITGAX,http://purl.obolibrary.org/obo/UBERON_0001153,http://purl.obolibrary.org/obo/CL_0009018,http://identifiers.org/hgnc/6152
Large Intestine,caecum,lymphocyte of large intestine lamina propria,NCAM1,http://purl.obolibrary.org/obo/UBERON_0001153,http://purl.obolibrary.org/obo/CL_0009018,http://identifiers.org/hgnc/7656
Large Intestine,caecum,endothelial cell of venule,PECAM1,http://purl.obolibrary.org/obo/UBERON_0001153,http://purl.obolibrary.org/obo/CL_1000414,http://identifiers.org/hgnc/8823
